,ts_code,ann_date,type,p_change_min,p_change_max
0,000019.SZ,20190413,续盈,-20.4929,11.31
1,000019.SZ,20190131,续盈,-22.326,8.7437
2,000019.SZ,20181013,续亏,-28.8416,-6.1048
3,000019.SZ,20180714,续亏,-29.5061,15.5395
4,000019.SZ,20180414,续亏,-31.0747,-0.8267
5,000019.SZ,20180130,首亏,-165.2034,-145.5389
6,000020.SZ,20180331,预减,-90.84,-63.35
7,000020.SZ,20180131,首亏,-154.9681,-109.1614
8,000021.SZ,20180130,预增,142.51,189.15
9,001872.SZ,20190413,预增,83.5,136.1
10,001872.SZ,20190130,预减,-54.76,-42.07
11,000023.SZ,20190413,扭亏,367.0,450.0
12,000023.SZ,20181013,预减,-73.0,-65.0
13,000023.SZ,20180714,预减,-97.0,-92.0
14,000023.SZ,20180414,首亏,-157.0,-138.0
15,000023.SZ,20180116,预增,181.0,232.0
16,000025.SZ,20190308,略增,16.66,40.59
17,000025.SZ,20180414,预增,189.21,300.44
18,000025.SZ,20180131,预增,109.61,157.41
19,000026.SZ,20190130,略增,25.0,35.0
20,000027.SZ,20190413,预增,443.0,607.54
21,000031.SZ,20190412,略增,6.0,36.0
22,000031.SZ,20190130,预增,16.36,58.67
23,000031.SZ,20181013,预增,50.0,100.0
24,000031.SZ,20180706,预增,285.0,335.0
25,000031.SZ,20180412,预增,50.0,100.0
26,000032.SZ,20190126,预增,108.83,161.04
27,000032.SZ,20181013,略增,34.16,46.2
28,000032.SZ,20180712,预增,48.62,75.64
29,000032.SZ,20180414,预增,77.19,125.51
30,000032.SZ,20180130,预减,-70.35,-55.53
31,000034.SZ,20180623,略增,25.0,35.0
32,000034.SZ,20180130,预增,62.21,84.5
33,000035.SZ,20190415,续盈,-7.3157,8.573
34,000036.SZ,20190320,预增,156.35,203.83
35,000036.SZ,20180712,预减,-65.77,-61.97
36,000036.SZ,20180414,预减,-86.16,-84.84
37,000037.SZ,20190411,续亏,-160.0,-160.0
38,000037.SZ,20181010,扭亏,1817.5273,1817.5273
39,000037.SZ,20180709,扭亏,232.5721,232.5721
40,000037.SZ,20180412,续亏,59.84,59.84
41,000037.SZ,20180118,预减,-98.78,-98.78
42,000038.SZ,20190415,预减,-91.92,-91.92
43,000038.SZ,20190131,首亏,-376.59,-292.78
44,000038.SZ,20180122,预增,37.1893,62.9123
45,000039.SZ,20181016,预增,60.0,110.0
46,000039.SZ,20180130,预增,345.0,419.0
47,000040.SZ,20190415,预减,-100.0,-96.77
48,000040.SZ,20190131,预增,83.79,120.55
49,000040.SZ,20181015,预增,317.51,342.25
50,000040.SZ,20180713,预增,725.0,758.0
51,000040.SZ,20180414,预增,2869.0,2967.0
52,000040.SZ,20180130,预增,205.0,242.0
53,000042.SZ,20180804,预增,162.54,212.54
54,000042.SZ,20180714,预增,346.0,396.0
55,000042.SZ,20180427,预增,220.0,270.0
56,000042.SZ,20180414,预增,940.0,990.0
57,000043.SZ,20190130,预增,433.24,493.01
58,000043.SZ,20181013,扭亏,1243.0012,1270.8793
59,000043.SZ,20180713,扭亏,178.2775,203.1839
60,000043.SZ,20180413,扭亏,165.3346,204.5354
61,000043.SZ,20180309,略减,-16.35,0.0
62,000043.SZ,20180131,预增,172.63,216.0
63,000045.SZ,20190413,预增,84.84,84.84
64,000045.SZ,20190126,首亏,-149.26,-133.16
65,000045.SZ,20181012,预减,-67.3586,-55.489
66,000045.SZ,20180713,预减,-61.9584,-30.8334
67,000045.SZ,20180410,预增,16.2213,51.0877
68,000046.SZ,20190415,预增,21.82,54.75
69,000046.SZ,20190131,预减,-69.91,-55.04
70,000046.SZ,20180411,预增,220.0,266.0
71,000048.SZ,20190412,扭亏,772.31,1192.5
72,000048.SZ,20190201,略减,-42.19,-20.51
73,000048.SZ,20181013,扭亏,275.3,292.4
74,000048.SZ,20180714,扭亏,287.6,334.5
75,000048.SZ,20180414,扭亏,102.71,127.05
76,000048.SZ,20180127,预增,3759.0,4766.0
77,000049.SZ,20181013,预增,35.0,55.0
78,000049.SZ,20180116,略增,5.0,25.0
79,000055.SZ,20190116,预增,79.13,109.72
80,000055.SZ,20180122,预增,50.44,71.93
81,000056.SZ,20180414,略增,1.53,24.52
82,000056.SZ,20180131,预增,49.81,85.06
83,000058.SZ,20190416,预减,-89.8,-86.79
84,000058.SZ,20190131,预减,-67.21,-57.37
85,000058.SZ,20180831,预增,84.99,84.99
86,000058.SZ,20180428,预增,81.968,81.968
87,000058.SZ,20180418,预增,83.0,115.0
88,000059.SZ,20190413,略增,3.01,15.89
89,000059.SZ,20190119,略减,-48.52,-40.39
90,000059.SZ,20180710,略减,-13.17,-9.55
91,000059.SZ,20180413,略减,-33.1,-21.96
92,000060.SZ,20180410,预增,37.12,50.83
93,000060.SZ,20180124,预增,209.38,255.79
94,000061.SZ,20190413,预增,1299.6,1625.09
95,000061.SZ,20190131,预增,202.33,353.5
96,000061.SZ,20181015,预增,1386.3866,1832.3026
97,000061.SZ,20180714,首亏,-336.3279,-218.164
98,000061.SZ,20180131,预减,-98.87,-71.74
99,000062.SZ,20190130,预增,58.0,68.0
100,000062.SZ,20181013,预增,58.0,68.0
101,000062.SZ,20180713,预增,78.0,88.0
102,000062.SZ,20180414,预增,59.28,84.77
103,000063.SZ,20190430,扭亏,115.34,123.01
104,000063.SZ,20190328,扭亏,114.79,122.19
105,000063.SZ,20181026,首亏,-257.61,-235.72
106,000063.SZ,20180831,首亏,-299.76,-274.15
107,000063.SZ,20180714,首亏,-492.52,-405.29
108,000065.SZ,20180714,预增,53.26,75.94
109,000066.SZ,20190413,预减,-66.9911,-50.4866
110,000066.SZ,20190121,预增,46.0,89.0
111,000066.SZ,20180126,预增,96.2814,131.9689
112,000068.SZ,20190413,续亏,-105.62,-71.35
113,000068.SZ,20190131,首亏,-498.73,-376.05
114,000068.SZ,20180828,续亏,-630.07,-447.55
115,000068.SZ,20180417,续亏,-75.3616,-37.7841
116,000068.SZ,20180414,续亏,-8.768,4.828
117,000070.SZ,20190109,略增,0.0,15.0
118,600282.SH,20180720,预增,87.72,87.72
119,600282.SH,20180123,预增,800.0,800.0
120,600287.SH,20190427,预增,,
121,600287.SH,20180127,预增,69.43,69.43
122,600288.SH,20190131,预增,34.87,66.44
123,600288.SH,20180724,扭亏,594.2429,594.2429
124,600853.SH,20180130,预增,370.83,391.3
125,600854.SH,20190123,预增,109.77,138.12
126,600856.SH,20190420,首亏,-258.79,-258.79
127,600856.SH,20190131,预减,-94.29,-93.34
128,600857.SH,20190423,不确定,,
129,600857.SH,20190123,扭亏,107.8842,107.8842
130,600857.SH,20180424,-,,
131,600857.SH,20180131,-,-1142.3754,-69.4111
132,600858.SH,20180131,预增,90.0,126.0
133,600860.SH,20190131,首亏,-641.4886,-545.6507
134,600860.SH,20180131,扭亏,110.0815,116.8025
135,600861.SH,20190131,预减,-56.65,-46.03
136,600862.SH,20190118,预增,270.0,270.0
137,600863.SH,20190126,预增,50.15,55.99
138,600863.SH,20181020,略减,-4.85,-3.05
139,600863.SH,20180417,扭亏,103.77,103.77
140,600863.SH,20180130,预增,51.52,69.7
141,600864.SH,20190131,首亏,-139.0854,-133.5018
142,600865.SH,20190427,不确定,,
143,600865.SH,20190129,预增,130.0,150.0
144,600865.SH,20181030,略增,,
145,600865.SH,20180809,略增,,
146,600865.SH,20180428,略增,,
147,600865.SH,20180125,预减,-54.0,-34.0
148,600866.SH,20190416,略增,,
149,600866.SH,20190122,扭亏,125.9046,125.9046
150,600866.SH,20180731,扭亏,140.2207,140.2207
151,600866.SH,20180410,扭亏,130.3812,130.3812
152,600866.SH,20180130,首亏,-799.4103,-799.4103
153,600868.SH,20190130,预减,-81.95,-81.95
154,600868.SH,20181030,略减,,
155,600868.SH,20180817,-,,
156,600868.SH,20180427,略减,,
157,600868.SH,20180125,预增,70.07,70.07
158,600869.SH,20190418,预增,145.0,213.0
159,600869.SH,20190116,预增,389.0,566.0
160,600869.SH,20180609,预增,67.0,113.0
161,600869.SH,20180117,预减,-82.56,-73.84
162,600871.SH,20190412,预增,523.98,523.98
163,600871.SH,20190126,扭亏,101.4363,101.4363
164,600871.SH,20181012,扭亏,113.3091,113.3091
165,600871.SH,20180712,扭亏,117.503,117.503
166,600871.SH,20180328,扭亏,102.2299,102.2299
167,600871.SH,20180131,续亏,34.2218,34.2218
168,600872.SH,20180714,预增,58.0,58.0
169,600875.SH,20190125,略增,0.0,25.0
170,600875.SH,20180125,扭亏,133.6265,139.2309
171,600876.SH,20190131,预减,-86.0,-79.0
172,600876.SH,20180127,预增,69.27,86.63
173,600877.SH,20190131,首亏,-175.6091,-163.0076
174,600877.SH,20180131,扭亏,190.9721,207.2171
175,600880.SH,20190426,略增,,
176,600880.SH,20190129,首亏,-2456.2095,-2082.6641
177,600880.SH,20181019,扭亏,153.8578,153.8578
178,600880.SH,20180823,扭亏,,
179,600880.SH,20180717,扭亏,155.7199,155.7199
180,600880.SH,20180428,续亏,,
181,600880.SH,20180131,略减,-50.0,-30.0
182,600881.SH,20190424,首亏,-124.6,-124.6
183,600881.SH,20190130,预减,-98.68,-88.56
184,600881.SH,20180131,预增,400.0,430.0
185,600882.SH,20180130,预减,-90.0,-90.0
186,600883.SH,20190122,预减,-68.0,-48.0
187,600883.SH,20180130,预增,80.0,100.0
188,600884.SH,20181019,预增,117.53,132.49
189,600884.SH,20180824,预增,,
190,600884.SH,20180419,预增,65.93,89.91
191,600884.SH,20180120,预增,157.5,187.79
192,600362.SH,20190131,略增,49.94,49.94
193,600362.SH,20180728,预增,50.0,80.0
194,600362.SH,20180131,预增,100.0,130.0
195,600366.SH,20190104,预减,-79.83,-70.15
196,600366.SH,20181026,预减,,-50.0
197,600367.SH,20180130,预增,105.0,124.0
198,600368.SH,20190426,预增,,
199,600368.SH,20180126,预增,60.0,80.0
200,600369.SH,20190130,预减,-70.0,-55.0
201,600369.SH,20181031,-,,
202,600376.SH,20181020,预增,60.0,80.0
203,600376.SH,20180712,预增,290.0,290.0
204,600378.SH,20190131,预增,58.52,64.68
205,600378.SH,20180127,预增,110.0,130.0
206,002417.SZ,20190323,续亏,88.9485,100.0
207,002417.SZ,20190123,首亏,-751.7338,-621.387
208,002417.SZ,20181026,首亏,-608.3523,-530.1443
209,002417.SZ,20180827,首亏,-500.4379,-386.0271
210,002417.SZ,20180714,首亏,-251.1015,-190.6609
211,002417.SZ,20180417,首亏,-160.4406,-100.0
212,002417.SZ,20180327,首亏,-461.3923,-340.9282
213,002417.SZ,20180130,扭亏,101.8969,109.4844
214,300063.SZ,20190410,续盈,-6.31,23.28
215,300063.SZ,20190131,续亏,-180.86,-116.29
216,300063.SZ,20181013,略减,-30.0,0.0
217,300063.SZ,20180814,略增,0.0,12.53
218,300063.SZ,20180713,略减,-33.02,-6.23
219,300063.SZ,20180427,略减,-27.8524,-27.8524
220,300063.SZ,20180410,预减,-79.71,-49.95
221,300063.SZ,20180131,略减,-30.0,0.0
222,300065.SZ,20190405,略减,-10.0,0.0
223,300065.SZ,20190131,略增,0.0,5.0
224,300065.SZ,20181013,略增,15.5,30.0
225,300065.SZ,20180707,略增,20.32,40.32
226,300065.SZ,20180207,预增,40.0,60.0
227,300065.SZ,20180131,略增,11.0,41.0
228,300064.SZ,20190410,预减,-70.0,-50.0
229,300064.SZ,20190130,略减,-50.0,-30.0
230,300064.SZ,20181013,略增,5.0,25.0
231,300064.SZ,20180712,预增,70.0,90.0
232,300064.SZ,20180326,预增,95.0,115.0
233,300064.SZ,20180130,预增,70.0,90.0
234,300068.SZ,20190131,预增,30.0,60.0
235,300068.SZ,20190131,略减,-40.0,-10.0
236,300068.SZ,20181013,略增,10.0,40.0
237,300068.SZ,20180427,预增,90.0,120.0
238,300068.SZ,20180327,预增,80.0,110.0
239,300068.SZ,20180116,略增,10.0,40.0
240,002418.SZ,20190426,续亏,-739.5757,-553.0033
241,002418.SZ,20190330,续亏,-662.8153,-408.5435
242,002418.SZ,20190131,首亏,-543.6526,-505.0742
243,002418.SZ,20181023,-,-138.58,-96.0
244,002418.SZ,20180823,-,-126.47,-84.12
245,002418.SZ,20180714,不确定,-113.83,-86.17
246,002418.SZ,20180421,续盈,-3.16,24.51
247,002420.SZ,20190427,扭亏,120.3829,130.5591
248,002420.SZ,20190330,预增,329.06,378.73
249,002420.SZ,20190131,续亏,-77.6282,-46.2821
250,002420.SZ,20181030,续亏,-46.282,-4.4872
251,002420.SZ,20181013,续亏,-113.8953,-64.5348
252,002420.SZ,20180828,续亏,34.1861,56.124
253,002420.SZ,20180714,续亏,23.6278,61.8139
254,002420.SZ,20180425,扭亏,100.0,138.1861
255,002420.SZ,20180331,扭亏,100.0,137.9815
256,002420.SZ,20180131,首亏,-2547.2586,-2026.5652
257,002422.SZ,20181029,预增,55.0,85.0
258,002422.SZ,20180828,预增,160.0,190.0
259,002422.SZ,20180426,预增,180.0,230.0
260,002422.SZ,20180330,预增,80.0,120.0
261,002422.SZ,20180131,略增,15.0,45.0
262,002428.SZ,20181025,续盈,-5.49,41.77
263,002428.SZ,20180817,预增,125.0,175.0
264,002428.SZ,20180425,预增,160.0,210.0
265,002423.SZ,20190330,扭亏,847.7676,1236.6067
266,002423.SZ,20181024,续亏,65.1055,70.9213
267,002423.SZ,20180817,续亏,45.5893,55.7913
268,002423.SZ,20180710,续亏,49.7771,59.8217
269,002423.SZ,20180421,续亏,29.688,49.7771
270,002423.SZ,20180330,续亏,-3.9858,22.0106
271,002423.SZ,20180131,首亏,-5294.4025,-4524.8614
272,002442.SZ,20190409,预减,-100.0,-74.92
273,002442.SZ,20190215,预减,-62.38,-37.3
274,002442.SZ,20181023,预增,120.18,160.21
275,002442.SZ,20180810,略增,22.05,36.41
276,002442.SZ,20180424,预增,23.04,59.95
277,002442.SZ,20180331,预增,72.8,101.6
278,002424.SZ,20181025,略增,5.0,20.0
279,002424.SZ,20180823,略增,5.0,20.0
280,002424.SZ,20180424,略增,5.0,20.0
281,002427.SZ,20190330,预减,-100.0,-50.0
282,002427.SZ,20190131,首亏,-667.8964,-619.0451
283,002427.SZ,20181030,预减,-100.0,-90.0
284,002427.SZ,20181013,预减,-100.0,-80.0
285,002427.SZ,20180831,预减,-90.0,-70.0
286,002427.SZ,20180714,预减,-90.0,-60.0
287,002427.SZ,20180502,略减,-50.0,0.0
288,002427.SZ,20180428,略减,-50.0,-25.0
289,002427.SZ,20180331,预减,-60.0,-40.0
290,002426.SZ,20190426,首亏,-150.9824,-143.2578
291,002426.SZ,20190330,首亏,-243.3623,-210.78
292,002426.SZ,20190126,首亏,-195.185,-177.8786
293,002426.SZ,20181027,略减,-32.94,-12.82
294,002426.SZ,20180818,续盈,-24.96,4.8
295,002426.SZ,20180421,略增,2.6,18.15
296,002426.SZ,20180313,略增,0.36,26.32
297,601518.SH,20180131,预增,45.0,60.0
298,601518.SH,20180125,预增,40.0,55.0
299,002431.SZ,20190330,首亏,-4164.0247,-3196.3998
300,002431.SZ,20181025,预减,-90.0,-60.0
301,002431.SZ,20181015,预减,-100.0,-83.34
302,002431.SZ,20180815,略增,0.0,30.0
303,002431.SZ,20180714,略增,18.0,40.0
304,002431.SZ,20180420,预增,110.0,160.0
305,002431.SZ,20180330,扭亏,100.0,127.9857
306,002456.SZ,20181020,预增,120.0,150.0
307,002456.SZ,20180807,略增,30.0,50.0
308,002456.SZ,20180424,略增,10.0,30.0
309,002456.SZ,20180131,预增,40.0,60.0
310,002456.SZ,20180131,预增,50.0,70.0
311,002447.SZ,20190330,预减,-90.0,-75.0
312,002447.SZ,20190130,首亏,-369.0,-319.0
313,002447.SZ,20181029,-,-125.43,-75.43
314,002447.SZ,20180831,续盈,-20.5,29.5
315,002447.SZ,20180714,预增,127.27,162.27
316,002447.SZ,20180428,预增,200.0,250.0
317,002447.SZ,20180322,预增,557.0,607.0
318,002452.SZ,20190330,扭亏,100.0,131.5781
319,002452.SZ,20190130,首亏,-346.3155,-247.7893
320,002452.SZ,20181024,首亏,-149.2631,-100.0
321,002452.SZ,20180822,首亏,-149.2244,-121.8775
322,002452.SZ,20180424,首亏,-163.5381,-125.0302
323,002452.SZ,20180331,首亏,-210.0298,-173.3534
324,002460.SZ,20190130,续盈,-20.0,20.0
325,002460.SZ,20181030,略增,0.0,20.0
326,002460.SZ,20180821,预增,10.0,60.0
327,002460.SZ,20180424,预增,15.0,65.0
328,002460.SZ,20180330,预增,125.0,175.0
329,002454.SZ,20190427,预增,50.0,100.0
330,002454.SZ,20190413,预增,125.87,153.79
331,002454.SZ,20181020,预减,-70.0,-20.0
332,002454.SZ,20180828,预减,-70.0,-20.0
333,002454.SZ,20180427,预减,-80.0,-30.0
334,002453.SZ,20181026,预增,78.73,155.33
335,002453.SZ,20180816,预增,315.11,522.67
336,002453.SZ,20180427,预增,345.1,493.46
337,002453.SZ,20180331,扭亏,152.5612,175.71
338,300085.SZ,20190410,续亏,-75.3914,-44.0715
339,300085.SZ,20190131,预增,43.89,70.87
340,300085.SZ,20181013,预减,-92.56,-77.67
341,300085.SZ,20180714,预减,-95.05,-65.34
342,300085.SZ,20180410,首亏,-362.2401,-289.3956
343,300085.SZ,20180131,预减,-75.25,-45.54
344,601717.SH,20190131,预增,146.26,195.51
345,601717.SH,20180201,预增,329.04,374.2
346,300179.SZ,20190320,略增,2.44,21.07
347,300179.SZ,20190122,略增,9.0,32.0
348,300179.SZ,20181009,略减,-21.0,-11.0
349,300179.SZ,20180714,略减,-27.0,-2.0
350,300179.SZ,20180410,略减,-23.45,-0.48
351,300179.SZ,20180125,预增,100.0,127.0
352,300097.SZ,20190314,首亏,-216.2968,-200.9946
353,300097.SZ,20190131,略减,-29.54,-11.93
354,300097.SZ,20181013,略减,-21.36,-3.22
355,300097.SZ,20180713,预增,40.84,65.8
356,300097.SZ,20180201,扭亏,453.2153,512.0845
357,300097.SZ,20180131,预增,85.98,115.97
358,002462.SZ,20190228,略增,0.0,30.0
359,002462.SZ,20181018,略增,0.0,30.0
360,002462.SZ,20180711,略增,0.0,30.0
361,002462.SZ,20180427,略增,0.0,30.0
362,300099.SZ,20190409,首亏,-237.359,-203.0193
363,300099.SZ,20190129,续盈,-10.0,10.0
364,300099.SZ,20181013,略增,5.0,10.0
365,300099.SZ,20180712,预增,200.0,222.0
366,300099.SZ,20180409,预减,-74.49,-61.74
367,300099.SZ,20180125,预增,207.9,237.66
368,300093.SZ,20190410,略增,3.0,32.0
369,300093.SZ,20190122,略增,2.0,31.0
370,300093.SZ,20181015,略增,3.25,12.97
371,300093.SZ,20180702,略增,10.0,39.99
372,300093.SZ,20180410,预增,23.38,51.52
373,300093.SZ,20180117,预增,265.09,294.98
374,601718.SH,20190131,首亏,-109.7461,-106.541
375,601718.SH,20180726,预减,-68.53,-53.87
376,601718.SH,20180127,略减,-43.42,-29.44
377,002464.SZ,20190130,预减,-53.18,-32.37
378,002464.SZ,20181027,略减,-34.97,-16.76
379,002464.SZ,20180823,略减,-25.31,-2.91
380,002464.SZ,20180714,预增,15.23,51.62
381,002464.SZ,20180428,续盈,-15.09,27.36
382,002464.SZ,20180131,续盈,-13.31,13.77
383,300124.SZ,20190410,略减,-40.0,-20.0
384,300124.SZ,20190125,略增,0.0,15.0
385,300124.SZ,20181013,略增,5.0,15.0
386,300124.SZ,20180714,略增,10.0,20.0
387,300124.SZ,20180410,略增,5.0,25.0
388,300124.SZ,20180131,略增,10.0,20.0
389,300089.SZ,20190410,略增,5.0,30.0
390,300089.SZ,20190131,预增,150.0,180.0
391,300089.SZ,20181008,预增,120.0,150.0
392,300089.SZ,20180627,预增,166.0,195.0
393,300089.SZ,20180410,略增,5.0,30.0
394,300089.SZ,20180131,略减,-45.0,-20.0
395,300094.SZ,20190410,预减,-94.8,-87.51
396,300094.SZ,20190118,预增,72.76,93.57
397,300094.SZ,20181011,预增,98.35,107.26
398,300094.SZ,20180629,预增,134.28,162.5
399,300094.SZ,20180410,预增,418.03,445.3
400,300094.SZ,20180130,预增,49.02,70.31
401,300253.SZ,20190402,略增,35.0,50.0
402,300253.SZ,20190131,略增,20.0,40.0
403,300253.SZ,20181011,预增,40.0,55.0
404,300253.SZ,20180714,略增,20.0,40.0
405,300253.SZ,20180316,预增,40.0,60.0
406,300253.SZ,20180120,预减,-58.0,-51.0
407,300152.SZ,20190410,扭亏,621.3669,654.7878
408,300152.SZ,20190131,首亏,-1207.8495,-1194.502
409,300152.SZ,20181025,首亏,,
410,300152.SZ,20181013,首亏,-2938.2135,-2884.8636
411,300152.SZ,20180825,首亏,-814.89,-761.54
412,300152.SZ,20180801,首亏,-262.0208,-242.2622
413,300152.SZ,20180731,首亏,-262.0208,-242.2622
414,300152.SZ,20180714,预减,-60.0,-40.0
415,300152.SZ,20180410,首亏,-160.1411,-142.5272
416,300152.SZ,20180130,扭亏,138.6831,142.4755
417,300321.SZ,20190409,预增,1670.0,1700.0
418,300321.SZ,20190118,略增,10.0,30.0
419,300321.SZ,20181009,略增,10.0,30.0
420,300321.SZ,20180711,略增,0.0,30.0
421,300321.SZ,20180410,预减,-100.0,-80.0
422,300321.SZ,20180126,略减,-35.0,-15.0
423,300245.SZ,20190410,续盈,-10.0,20.0
424,300245.SZ,20190129,续盈,-10.0,10.0
425,300245.SZ,20181013,续盈,-10.0,10.0
426,300245.SZ,20180714,略减,-20.0,0.0
427,300245.SZ,20180410,续盈,-10.0,10.0
428,300245.SZ,20180131,续盈,-10.0,10.0
429,300095.SZ,20190409,续盈,-15.0,14.95
430,300095.SZ,20190119,略增,10.0,40.0
431,300095.SZ,20181012,略增,0.0,30.0
432,300095.SZ,20180714,略增,0.0,30.0
433,300095.SZ,20180212,预增,71.0,100.0
434,300095.SZ,20180131,略增,0.0,30.0
435,300100.SZ,20190410,预减,-85.0,-70.0
436,300100.SZ,20190131,预减,-90.0,-60.0
437,300100.SZ,20181030,-,,
438,300100.SZ,20181013,略减,-32.0,-27.88
439,300100.SZ,20180714,预减,-55.0,-40.0
440,300100.SZ,20180405,略减,-50.0,-40.0
441,300100.SZ,20180113,略减,-45.0,-30.0
442,300092.SZ,20190328,预增,646.1,673.9
443,300092.SZ,20190130,略增,5.26,33.67
444,300092.SZ,20181012,略增,22.41,48.07
445,300092.SZ,20180712,略增,17.03,45.28
446,300092.SZ,20180328,预增,91.44,120.16
447,300092.SZ,20180124,预减,-85.89,-73.35
448,002496.SZ,20190427,首亏,-150.9558,-100.0
449,002496.SZ,20190330,预减,-100.0,-85.0
450,002496.SZ,20181024,首亏,-217.6236,-193.1187
451,002496.SZ,20181013,首亏,-176.119,-154.8057
452,002496.SZ,20180828,首亏,-115.2238,-103.0448
453,002496.SZ,20180710,预减,-60.0,-30.0
454,002496.SZ,20180428,略减,-30.0,0.0
455,002496.SZ,20180331,略减,-30.0,-20.0
456,300102.SZ,20190423,预减,-100.0,-70.0
457,300102.SZ,20190410,预减,-95.77,-75.7
458,300102.SZ,20190125,略减,-19.26,-0.27
459,300102.SZ,20181013,略减,-4.82,-1.03
460,300102.SZ,20180713,略增,12.98,37.54
461,300102.SZ,20180228,续盈,-15.0,15.0
462,300102.SZ,20180130,预增,313.37,342.31
463,300360.SZ,20190405,续盈,-15.0,15.0
464,300360.SZ,20190130,略减,-20.0,0.0
465,300360.SZ,20181013,略增,0.0,15.0
466,300360.SZ,20180714,略增,0.0,10.0
467,300360.SZ,20180410,略减,-35.0,-5.0
468,300360.SZ,20180127,略减,-50.0,-30.0
469,300357.SZ,20190328,略增,15.0,35.0
470,300357.SZ,20190129,略增,20.0,30.0
471,300357.SZ,20181016,略增,20.0,40.0
472,300357.SZ,20180710,略增,30.0,40.0
473,300357.SZ,20180313,略增,25.0,45.0
474,300357.SZ,20180111,略增,40.0,50.0
475,002707.SZ,20190131,预减,-85.0,-75.0
476,002707.SZ,20181029,续盈,-20.0,20.0
477,002707.SZ,20180811,预增,15.0,65.0
478,002707.SZ,20180425,略增,0.0,50.0
479,002843.SZ,20181016,略增,0.0,25.0
480,002843.SZ,20180801,略增,10.0,40.0
481,002843.SZ,20180424,略增,10.0,40.0
482,300373.SZ,20190410,略减,-50.0,-40.0
483,300373.SZ,20190123,略减,-30.0,0.0
484,300373.SZ,20181013,略增,12.0,20.0
485,300373.SZ,20180714,略增,10.0,25.0
486,300373.SZ,20180328,略增,10.0,35.0
487,300373.SZ,20180131,略增,30.0,40.0
488,300363.SZ,20190427,预增,38.0,58.0
489,300363.SZ,20190410,略减,-25.0,-15.0
490,300363.SZ,20190131,略增,10.0,30.0
491,300363.SZ,20181012,略增,35.0,45.0
492,300363.SZ,20180829,略减,-10.0,0.0
493,300363.SZ,20180712,略减,-50.0,-30.0
494,300363.SZ,20180410,预减,-70.0,-50.0
495,300363.SZ,20180113,略减,-40.0,-30.0
496,002748.SZ,20190426,预减,-90.0,-50.0
497,002748.SZ,20190329,预减,-95.0,-75.0
498,002748.SZ,20181026,预减,-70.0,-50.0
499,002748.SZ,20180821,预减,-85.0,-75.0
500,002748.SZ,20180426,预减,-85.0,-70.0
501,002748.SZ,20180329,预减,-85.0,-65.0
502,300546.SZ,20190410,扭亏,350.8554,378.7282
503,300546.SZ,20190128,略增,33.31,40.86
504,300546.SZ,20181013,略增,40.15,43.81
505,300546.SZ,20180713,略增,32.55,40.58
506,300546.SZ,20180410,首亏,-169.5878,-158.6003
507,300546.SZ,20180125,略增,28.63,32.77
508,300377.SZ,20190410,略增,0.0,10.0
509,300377.SZ,20190131,续盈,-15.0,12.0
510,300377.SZ,20181013,略增,40.0,50.0
511,300377.SZ,20180712,预增,40.0,60.0
512,300377.SZ,20180331,预增,60.0,80.0
513,300377.SZ,20180130,预增,60.0,85.0
514,300391.SZ,20190330,预增,85.25,109.41
515,300391.SZ,20190129,预增,50.61,64.95
516,300391.SZ,20181012,预增,86.56,105.21
517,300391.SZ,20180623,预增,88.88,98.02
518,300391.SZ,20180410,预增,417.31,511.36
519,300391.SZ,20180131,预增,1439.88,1676.79
520,002838.SZ,20190327,预增,30.0,60.0
521,002838.SZ,20181025,略增,30.0,50.0
522,002838.SZ,20180820,略增,30.0,50.0
523,002838.SZ,20180424,略增,10.0,30.0
524,603609.SH,20190126,略增,15.0,20.0
525,603609.SH,20180914,预增,45.0,53.0
526,603609.SH,20180728,预增,52.07,52.07
527,300385.SZ,20190410,略增,1.0,30.0
528,300385.SZ,20190131,略减,-35.0,-6.0
529,300385.SZ,20181013,略增,0.0,30.0
530,300385.SZ,20180712,略增,15.0,40.0
531,300385.SZ,20180410,预增,30.0,60.0
532,300385.SZ,20180131,略减,-39.0,-10.0
533,300376.SZ,20190410,续盈,-5.0,10.0
534,300376.SZ,20190123,略增,0.0,10.0
535,300376.SZ,20181013,略增,0.0,10.0
536,300376.SZ,20180704,略增,0.0,30.0
537,300376.SZ,20180315,略增,20.0,50.0
538,300376.SZ,20180122,预增,30.0,60.0
539,300419.SZ,20190427,不确定,,
540,300419.SZ,20190410,预减,-53.12,-33.04
541,300419.SZ,20190131,首亏,-1285.6419,-1116.2645
542,300419.SZ,20181030,-,,
543,300419.SZ,20180829,预减,-67.86,-63.26
544,300419.SZ,20180714,预减,-51.16,-44.65
545,300419.SZ,20180410,预减,-55.6,-42.91
546,300419.SZ,20180131,略减,-5.57,-2.31
547,002171.SZ,20181025,略增,10.92,24.78
548,002171.SZ,20180731,略增,14.02,33.02
549,002171.SZ,20180425,略增,16.04,45.05
550,002167.SZ,20190131,扭亏,112.7184,125.4369
551,002167.SZ,20181030,扭亏,217.3045,230.3383
552,002167.SZ,20180824,略减,-38.31,-24.08
553,002167.SZ,20180714,续盈,-17.27,14.55
554,002167.SZ,20180427,预增,218.0,260.0
555,002167.SZ,20180319,预增,292.0,338.0
556,002175.SZ,20190429,续亏,28.3428,44.9904
