,ts_code,ann_date,f_ann_date,comp_type,net_profit,finan_exp,free_cashflow,im_net_cashflow_oper_act
2045,300743.SZ,20190426,20190426,1,31742408.95,2563153.46,-11709315.3983,13922887.96
2046,300697.SZ,20190424,20190424,1,,,-61038104.15,
2047,300697.SZ,20190413,20190413,1,66340362.56,13990450.64,210315557.1661,32058309.56
2048,300692.SZ,20190429,20190429,1,,,,
2049,300692.SZ,20190429,20190429,1,,,-47290577.54,
2050,300692.SZ,20190312,20190312,1,64048126.83,11917053.33,246864710.0848,-223997871.39
2051,300698.SZ,20190425,20190425,1,,,,
2052,300698.SZ,20190425,20190425,1,4286337.66,4460943.51,-47921924.8122,15394298.12
2053,300713.SZ,20190429,20190429,1,,,,
2054,300713.SZ,20190425,20190425,1,15480244.93,1079247.26,-137282041.6929,-4653901.11
2055,300696.SZ,20190426,20190426,1,,,10903678.62,
2056,300696.SZ,20190426,20190426,1,68479887.81,837500.0,-131914287.3904,-1507810.13
2057,300717.SZ,20190426,20190426,1,,,,
2058,300717.SZ,20190426,20190426,1,,,-49768070.03,
2059,300717.SZ,20190411,20190411,1,46683782.41,-2418947.75,27125340.1678,30745311.15
2060,300720.SZ,20190426,20190426,1,,,-15663207.02,
2061,300720.SZ,20190426,20190426,1,46640869.12,-1349199.65,98583809.2182,20537948.29
2062,002919.SZ,20190427,20190427,1,,,-29761689.84,
2063,002919.SZ,20190426,20190426,1,29660736.75,,-283870930.1546,3191684.43
2064,603045.SH,20190426,20190426,1,,,-104098797.19,
2065,603045.SH,20190426,20190426,1,57830849.86,29343648.73,-78639736.3156,59043514.93
2066,603277.SH,20190426,20190426,1,,,-177169031.57,
2067,603277.SH,20190426,20190426,1,248349535.41,-12868640.8,-130939870.4536,153527666.75
2068,603103.SH,20190430,20190430,1,,,106487977.2673,
2069,603103.SH,20190309,20190309,1,320686955.49,2257870.03,56433172.1532,666573692.6
2070,603709.SH,20190425,20190425,1,,,-2793285.15,
2071,603709.SH,20190425,20190425,1,83774018.9,-9946330.35,-348656705.6675,65341163.94
2072,002896.SZ,20190425,20190425,1,,,-83289368.24,
2073,002896.SZ,20190412,20190412,1,72829705.43,5382929.99,-2120404.631,109343129.93
2074,002899.SZ,20190430,20190430,1,,,,
2075,002899.SZ,20190430,20190430,1,,,25460837.974,
2076,002899.SZ,20190430,20190430,1,62686634.91,3539122.11,,30247146.87
2077,002899.SZ,20190430,20190430,1,62686634.91,3539122.11,-141567457.6206,30247146.87
2078,002903.SZ,20190424,20190424,1,,,,
2079,002903.SZ,20190410,20190410,1,34994280.72,,-161192430.7056,-75156582.33
2080,603214.SH,20190423,20190423,1,,,-385344999.6,
2081,603214.SH,20190405,20190405,1,130745812.4,0.0,73742715.629,104300748.89
2082,002921.SZ,20190426,20190426,1,,,,
2083,002921.SZ,20190426,20190426,1,,,18075883.71,
2084,002921.SZ,20190329,20190329,1,44573461.02,14752870.42,-86077862.7857,19848858.51
2085,002929.SZ,20190429,20190429,1,,,,
2086,002929.SZ,20190429,20190429,1,,,-738269161.63,
2087,002929.SZ,20190429,20190429,1,205877713.64,11531247.63,,170930253.78
2088,002929.SZ,20190429,20190429,1,205877713.64,11531247.63,82992049.5393,170930253.78
2089,603917.SH,20190430,20190430,1,,,-108377998.6483,
2090,603917.SH,20190409,20190409,1,97757713.63,1042542.12,-142131493.4176,7088816.16
