,ts_code,ann_date,end_date,revenue,operate_profit,n_income,total_assets,diluted_roe
4882,000530.SZ,20190320,20181231,1964171141.86,116059368.06,110835501.08,5569131083.83,3.21
4883,000533.SZ,20190413,20181231,9559439074.37,-931912040.62,-929851730.03,2499959663.48,-83.16
4884,000534.SZ,20190413,20181231,258443047.41,74241072.14,61227938.23,2595677118.55,3.97
4885,000536.SZ,20181009,20180930,3636601838.11,,,,
4886,000536.SZ,20180707,20180630,2289548465.69,,,,
4887,000536.SZ,20180410,20180331,1143845279.28,,,,
4888,000536.SZ,20180106,20171231,4887056017.24,,,,
4889,000536.SZ,20171010,20170930,3446280244.11,,,,
4890,000536.SZ,20170707,20170630,2114115994.72,,,,
4891,000536.SZ,20170407,20170331,1046916102.85,,,,
4892,000536.SZ,20170107,20161231,4438939332.98,,,,
4893,000537.SZ,20180208,20171231,21642295263.07,2964873515.75,2171791437.7,72585483290.89,27.56
4894,000537.SZ,20170215,20161231,3932771590.82,581683092.66,345299598.48,18356621127.26,16.25
4895,000539.SZ,20180809,20180630,13894985179.0,989892233.0,448833518.0,72817272539.0,1.88
4896,000539.SZ,20180324,20171231,26643792057.0,1554637875.0,743180430.0,71007415323.0,3.16
4897,000539.SZ,20170818,20170630,12385486577.0,458775692.0,128735725.0,70230573061.0,0.55
4898,000539.SZ,20170413,20161231,22681120022.0,2022511842.0,936534941.0,70677003760.0,3.97
4899,000541.SZ,20170120,20161231,3366454968.6,1283191928.31,1077150269.7,6096888264.85,6.31
4900,000546.SZ,20180414,20171231,5073360700.0,470460800.0,350838800.0,7990548700.0,13.8
4901,000547.SZ,20180403,20180331,517945246.5,96737071.06,79787795.49,7442313874.07,1.46
4902,000547.SZ,20180403,20171231,2349932847.99,343254638.68,276125795.26,7622226058.82,5.09
4903,000548.SZ,20170415,20161231,211481304.97,16283570.8,58683018.05,2374978643.4,3.88
4904,000550.SZ,20180726,20180630,14287497000.0,191229000.0,318951000.0,23232394000.0,2.72
4905,000550.SZ,20180125,20171231,31346000000.0,127000000.0,690000000.0,26387000000.0,5.5
4906,000550.SZ,20170726,20170630,15666476000.0,405364000.0,552903000.0,24199974000.0,4.36
4907,000550.SZ,20170126,20161231,26634000000.0,955000000.0,1318000000.0,24494000000.0,10.74
4908,000557.SZ,20190307,20181231,760941838.32,183251089.01,147348446.68,5772924011.99,3.6
4909,000557.SZ,20170331,20161231,463125906.43,-36165560.37,8339451.87,5049395006.45,0.25
4910,000558.SZ,20190412,20181231,710574129.86,-14898381.32,-61237752.7,2741954469.13,
4911,600777.SH,20190330,20181231,4780527800.0,1113501500.0,600746100.0,24748383200.0,4.33
4912,600795.SH,20180303,20171231,59833177800.0,3653868900.0,2139379500.0,274275744900.0,4.356
4913,600795.SH,20170304,20161231,58416049800.0,8699819700.0,4619835200.0,271345400000.0,9.209
